airline_id,flight_number,departure_datetime,arrival_datetime,booking_status,cabin_class,fare,loyalty_points,flight_duration_hours,is_window_seat,is_aisle_seat,is_reward_program_member
6,2637,2023-06-26 00:11:20,2023-10-30 21:30:16,Cancelled,Economy,436.12,3649,8.06,True,True,True
5,6966,2023-04-27 21:36:15,2023-10-27 13:13:48,Pending,Economy,965.8,2598,6.68,False,False,False
12,5670,2023-03-31 15:08:52,2023-12-30 10:58:37,Pending,Economy,329.94,0,9.48,False,False,False
1,6203,2023-08-04 16:59:58,2023-03-01 18:34:01,Confirmed,Economy,165.07,0,1.98,False,True,True
8,6134,2023-03-07 01:08:36,2023-03-30 04:51:17,Cancelled,Business,491.32,0,8.45,True,True,True
1,2890,2023-01-17 08:11:37,2023-10-24 01:31:46,Confirmed,First,533.31,0,6.4,False,True,True
5,4205,2023-09-23 06:45:23,2023-05-28 08:46:14,Pending,Business,438.34,0,7.97,True,True,False
6,9669,2023-11-17 12:17:08,2023-03-05 11:03:39,Cancelled,Economy,798.54,704,10.95,False,True,True
3,3366,2023-01-14 02:46:30,2023-12-10 07:52:08,Cancelled,First,519.29,0,8.9,True,True,True
15,8559,2023-12-14 12:29:22,2023-09-28 11:45:44,Pending,Economy,340.43,0,2.4,True,True,True
5,3526,2023-07-12 21:09:55,2023-10-25 09:43:26,Cancelled,First,512.05,0,4.17,False,False,False
14,8807,2023-05-24 07:36:24,2023-04-27 18:57:53,Pending,Economy,904.61,2303,10.88,True,False,True
18,1366,2023-12-01 07:26:06,2023-01-09 05:22:54,Confirmed,Business,868.56,0,4.32,False,True,True
16,7521,2023-06-26 14:16:59,2023-06-05 17:19:03,Pending,Economy,672.46,0,4.38,True,True,True
6,7606,2023-09-11 04:16:01,2023-10-11 22:28:46,Pending,First,668.34,0,8.38,True,False,False
14,1012,2023-01-24 13:26:15,2023-09-21 23:08:58,Pending,First,622.34,681,2.85,True,False,False
8,9727,2023-07-04 14:07:52,2023-05-19 11:40:00,Pending,First,267.69,0,7.64,False,False,True
7,4239,2023-01-29 17:55:16,2023-09-08 03:01:46,Confirmed,Economy,634.86,0,7.91,True,False,True
8,3317,2023-01-04 22:52:54,2023-04-06 21:24:11,Pending,Economy,620.32,870,9.03,False,False,False
13,5042,2023-09-25 07:27:17,2023-07-10 12:19:42,Cancelled,Business,590.39,0,9.29,True,True,False
6,8485,2023-07-19 22:13:04,2023-05-19 14:20:10,Confirmed,Economy,814.97,163,9.54,True,True,True
18,1375,2023-12-14 18:07:26,2023-07-30 15:29:17,Cancelled,Economy,93.18,3523,10.82,True,True,True
2,1256,2023-10-26 00:45:19,2023-10-24 12:32:50,Pending,First,484.26,0,1.08,True,True,False
8,1449,2023-07-11 01:05:11,2023-10-08 23:25:46,Cancelled,First,100.9,154,8.54,True,False,True
11,4212,2023-02-28 06:07:36,2023-08-01 13:57:42,Cancelled,Economy,806.0,0,7.6,True,True,True
1,7175,2023-01-18 04:42:17,2023-10-30 02:08:55,Cancelled,First,271.37,0,1.41,False,False,True
6,6943,2023-02-17 23:14:18,2023-12-24 03:55:48,Cancelled,Economy,397.31,4066,6.16,False,False,False
16,9026,2023-04-04 04:46:56,2023-08-20 20:23:57,Pending,Economy,361.56,0,11.6,True,True,False
12,8446,2023-12-26 12:37:02,2023-11-17 12:49:37,Confirmed,Economy,940.22,0,6.08,False,False,False
11,2308,2023-04-27 06:02:19,2023-04-23 17:19:42,Confirmed,Economy,372.06,0,5.29,True,True,False
10,9339,2023-07-01 14:28:53,2023-08-22 00:10:58,Pending,Economy,99.17,0,3.44,True,False,True
3,5016,2023-04-18 21:56:57,2023-09-15 03:23:36,Cancelled,Economy,85.7,1568,10.92,True,True,True
13,4940,2023-08-09 15:08:39,2023-12-30 20:07:58,Pending,First,255.52,1419,1.38,True,True,True
3,7713,2023-07-01 03:21:08,2023-01-01 20:03:27,Confirmed,Business,135.1,0,8.82,False,False,False
15,5071,2023-11-26 04:14:47,2023-01-31 14:35:24,Cancelled,Business,804.19,0,3.74,False,False,False
16,9107,2023-06-12 21:16:54,2023-07-12 10:08:26,Pending,First,690.75,0,9.27,True,True,True
13,6912,2023-07-01 13:02:30,2023-12-28 11:06:36,Confirmed,Business,786.92,0,10.05,True,False,True
